ID_Sujeto,Origen_Form,Identidad,Bloque,Dilema,Dilema_Opcion,Categoria,Respuesta,expectativa_sin,expectativa_grande,expectativa_pequeña,Genero,politica,nivel_se,Cooperar,SDO_Score,NDC_Score,Gap_Size
Suj_003,Respuestas de formulario 1,AJK,Bloque_9,Bloque_CON,1,10,No cooperar,-1,-1,1,Mujer,3,6,0.0,1.1,5.166666666666667,1000.0
Suj_003,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,2,11,Cooperar,-1,-1,1,Mujer,3,6,1.0,1.1,5.166666666666667,1200.0
Suj_003,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,1,12,No cooperar,-1,-1,1,Mujer,3,6,0.0,1.1,5.166666666666667,1200.0
Suj_003,Respuestas de formulario 1,-,,Atencion,-,2,Opción 3,-1,-1,1,Mujer,3,6,,1.1,5.166666666666667,
Suj_004,Respuestas de formulario 1,ABC,Bloque_1,Bloque_SIN,-,1,Cooperar,0,0,0,Hombre,4,6,1.0,2.8,4.0,0.0
Suj_004,Respuestas de formulario 1,AEF,Bloque_3,Bloque_SIN,-,2,Cooperar,0,0,0,Hombre,4,6,1.0,2.8,4.0,0.0
Suj_004,Respuestas de formulario 1,ALM,Bloque_5,Bloque_SIN,-,3,Cooperar,0,0,0,Hombre,4,6,1.0,2.8,4.0,2000.0
Suj_004,Respuestas de formulario 1,AGH,Bloque_7,Bloque_SIN,-,4,Cooperar,0,0,0,Hombre,4,6,1.0,2.8,4.0,2400.0
Suj_004,Respuestas de formulario 1,AJK,Bloque_9,Bloque_SIN,-,5,Cooperar,0,0,0,Hombre,4,6,1.0,2.8,4.0,1000.0
Suj_004,Respuestas de formulario 1,AQS,Bloque_11,Bloque_SIN,-,6,Cooperar,0,0,0,Hombre,4,6,1.0,2.8,4.0,1200.0
Suj_004,Respuestas de formulario 1,-,Bloque_0,Atencion,-,1,Opción 3,0,0,0,Hombre,4,6,,2.8,4.0,
Suj_004,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,2,1,Cooperar,0,0,0,Hombre,4,6,1.0,2.8,4.0,0.0
Suj_004,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,1,2,Cooperar,0,0,0,Hombre,4,6,1.0,2.8,4.0,0.0
Suj_004,Respuestas de formulario 1,AEF,Bloque_3,Bloque_CON,2,3,Cooperar,0,0,0,Hombre,4,6,1.0,2.8,4.0,0.0
Suj_004,Respuestas de formulario 1,AEF,Bloque_3,Bloque_CON,1,4,Cooperar,0,0,0,Hombre,4,6,1.0,2.8,4.0,0.0
Suj_004,Respuestas de formulario 1,ALM,Bloque_5,Bloque_CON,2,5,Cooperar,0,0,0,Hombre,4,6,1.0,2.8,4.0,2000.0
Suj_004,Respuestas de formulario 1,ALM,Bloque_5,Bloque_CON,1,6,Cooperar,0,0,0,Hombre,4,6,1.0,2.8,4.0,2000.0
Suj_004,Respuestas de formulario 1,AGH,Bloque_7,Bloque_CON,2,7,Cooperar,0,0,0,Hombre,4,6,1.0,2.8,4.0,2400.0
Suj_004,Respuestas de formulario 1,AGH,Bloque_7,Bloque_CON,1,8,Cooperar,0,0,0,Hombre,4,6,1.0,2.8,4.0,2400.0
Suj_004,Respuestas de formulario 1,AJK,Bloque_9,Bloque_CON,2,9,Cooperar,0,0,0,Hombre,4,6,1.0,2.8,4.0,1000.0
Suj_004,Respuestas de formulario 1,AJK,Bloque_9,Bloque_CON,1,10,Cooperar,0,0,0,Hombre,4,6,1.0,2.8,4.0,1000.0
Suj_004,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,2,11,Cooperar,0,0,0,Hombre,4,6,1.0,2.8,4.0,1200.0
Suj_004,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,1,12,Cooperar,0,0,0,Hombre,4,6,1.0,2.8,4.0,1200.0
Suj_004,Respuestas de formulario 1,-,,Atencion,-,2,Opción 3,0,0,0,Hombre,4,6,,2.8,4.0,
Suj_005,Respuestas de formulario 1,ABC,Bloque_1,Bloque_SIN,-,1,No cooperar,-1,-1,0,Mujer,2,7,0.0,1.4,5.666666666666667,0.0
Suj_005,Respuestas de formulario 1,AEF,Bloque_3,Bloque_SIN,-,2,Cooperar,-1,-1,0,Mujer,2,7,1.0,1.4,5.666666666666667,0.0
Suj_005,Respuestas de formulario 1,ALM,Bloque_5,Bloque_SIN,-,3,Cooperar,-1,-1,0,Mujer,2,7,1.0,1.4,5.666666666666667,2000.0
Suj_005,Respuestas de formulario 1,AGH,Bloque_7,Bloque_SIN,-,4,Cooperar,-1,-1,0,Mujer,2,7,1.0,1.4,5.666666666666667,2400.0
Suj_005,Respuestas de formulario 1,AJK,Bloque_9,Bloque_SIN,-,5,Cooperar,-1,-1,0,Mujer,2,7,1.0,1.4,5.666666666666667,1000.0
Suj_005,Respuestas de formulario 1,AQS,Bloque_11,Bloque_SIN,-,6,Cooperar,-1,-1,0,Mujer,2,7,1.0,1.4,5.666666666666667,1200.0
Suj_005,Respuestas de formulario 1,-,Bloque_0,Atencion,-,1,Opción 3,-1,-1,0,Mujer,2,7,,1.4,5.666666666666667,
Suj_005,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,2,1,No cooperar,-1,-1,0,Mujer,2,7,0.0,1.4,5.666666666666667,0.0
Suj_005,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,1,2,Cooperar,-1,-1,0,Mujer,2,7,1.0,1.4,5.666666666666667,0.0
Suj_005,Respuestas de formulario 1,AEF,Bloque_3,Bloque_CON,2,3,No cooperar,-1,-1,0,Mujer,2,7,0.0,1.4,5.666666666666667,0.0
Suj_005,Respuestas de formulario 1,AEF,Bloque_3,Bloque_CON,1,4,Cooperar,-1,-1,0,Mujer,2,7,1.0,1.4,5.666666666666667,0.0
Suj_005,Respuestas de formulario 1,ALM,Bloque_5,Bloque_CON,2,5,No cooperar,-1,-1,0,Mujer,2,7,0.0,1.4,5.666666666666667,2000.0
Suj_005,Respuestas de formulario 1,ALM,Bloque_5,Bloque_CON,1,6,Cooperar,-1,-1,0,Mujer,2,7,1.0,1.4,5.666666666666667,2000.0
Suj_005,Respuestas de formulario 1,AGH,Bloque_7,Bloque_CON,2,7,No cooperar,-1,-1,0,Mujer,2,7,0.0,1.4,5.666666666666667,2400.0
Suj_005,Respuestas de formulario 1,AGH,Bloque_7,Bloque_CON,1,8,Cooperar,-1,-1,0,Mujer,2,7,1.0,1.4,5.666666666666667,2400.0
Suj_005,Respuestas de formulario 1,AJK,Bloque_9,Bloque_CON,2,9,No cooperar,-1,-1,0,Mujer,2,7,0.0,1.4,5.666666666666667,1000.0
Suj_005,Respuestas de formulario 1,AJK,Bloque_9,Bloque_CON,1,10,No cooperar,-1,-1,0,Mujer,2,7,0.0,1.4,5.666666666666667,1000.0
Suj_005,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,2,11,No cooperar,-1,-1,0,Mujer,2,7,0.0,1.4,5.666666666666667,1200.0
Suj_005,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,1,12,Cooperar,-1,-1,0,Mujer,2,7,1.0,1.4,5.666666666666667,1200.0
Suj_005,Respuestas de formulario 1,-,,Atencion,-,2,Opción 3,-1,-1,0,Mujer,2,7,,1.4,5.666666666666667,
Suj_006,Respuestas de formulario 1,ABC,Bloque_1,Bloque_SIN,-,1,No cooperar,1,0,0,Mujer,3,5,0.0,2.6,3.8333333333333335,0.0
Suj_006,Respuestas de formulario 1,AEF,Bloque_3,Bloque_SIN,-,2,Cooperar,1,0,0,Mujer,3,5,1.0,2.6,3.8333333333333335,0.0
Suj_006,Respuestas de formulario 1,ALM,Bloque_5,Bloque_SIN,-,3,Cooperar,1,0,0,Mujer,3,5,1.0,2.6,3.8333333333333335,2000.0
Suj_006,Respuestas de formulario 1,AGH,Bloque_7,Bloque_SIN,-,4,Cooperar,1,0,0,Mujer,3,5,1.0,2.6,3.8333333333333335,2400.0
Suj_006,Respuestas de formulario 1,AJK,Bloque_9,Bloque_SIN,-,5,No cooperar,1,0,0,Mujer,3,5,0.0,2.6,3.8333333333333335,1000.0
Suj_006,Respuestas de formulario 1,AQS,Bloque_11,Bloque_SIN,-,6,Cooperar,1,0,0,Mujer,3,5,1.0,2.6,3.8333333333333335,1200.0
Suj_006,Respuestas de formulario 1,-,Bloque_0,Atencion,-,1,Opción 3,1,0,0,Mujer,3,5,,2.6,3.8333333333333335,
Suj_006,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,2,1,Cooperar,1,0,0,Mujer,3,5,1.0,2.6,3.8333333333333335,0.0
Suj_006,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,1,2,No cooperar,1,0,0,Mujer,3,5,0.0,2.6,3.8333333333333335,0.0
Suj_006,Respuestas de formulario 1,AEF,Bloque_3,Bloque_CON,2,3,No cooperar,1,0,0,Mujer,3,5,0.0,2.6,3.8333333333333335,0.0
Suj_006,Respuestas de formulario 1,AEF,Bloque_3,Bloque_CON,1,4,No cooperar,1,0,0,Mujer,3,5,0.0,2.6,3.8333333333333335,0.0
Suj_006,Respuestas de formulario 1,ALM,Bloque_5,Bloque_CON,2,5,Cooperar,1,0,0,Mujer,3,5,1.0,2.6,3.8333333333333335,2000.0
Suj_006,Respuestas de formulario 1,ALM,Bloque_5,Bloque_CON,1,6,No cooperar,1,0,0,Mujer,3,5,0.0,2.6,3.8333333333333335,2000.0
Suj_006,Respuestas de formulario 1,AGH,Bloque_7,Bloque_CON,2,7,No cooperar,1,0,0,Mujer,3,5,0.0,2.6,3.8333333333333335,2400.0
