ID_Sujeto,Origen_Form,Identidad,Dilema,Orden_1,Bloque,Orden_2,Respuesta,Mantiene,SDO_Score,NDC_Score,expectativa_sin,expectativa_grande,expectativa_pequeña,Genero,politica,nivel_se,Gap_Size,expectativa_sin_num,expectativa_grande_num,expectativa_pequeña_num,Expectativa_Activa,Promedio_Gap_0,Promedio_Gap_1000,Promedio_Gap_1200,Promedio_Gap_2000,Promedio_Gap_2400,Promedio_CON,Promedio_SIN,Promedio_DIST,Delta_Mantiene,Delta_base
Suj_004,Respuestas de formulario 1,AQS,Bloque_SIN,3,Bloque_11,6,Opción 2,0,3.3,5.0,0,1,1,Mujer,6,6,1200,0,1,1,1,0.5,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0
Suj_014,Respuestas de formulario 2,AEF,Bloque_CON,1,Bloque_1,1,Opción 2,0,3.5,5.0,0,-1,-1,Hombre,7,7,0,0,-1,-1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,-1.0,1.0
Suj_014,Respuestas de formulario 2,AGH,Bloque_CON,1,Bloque_5,2,Opción 2,0,3.5,5.0,0,-1,-1,Hombre,7,7,2000,0,-1,-1,-1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,-1.0,1.0
Suj_014,Respuestas de formulario 2,ALM,Bloque_CON,1,Bloque_7,3,Opción 2,0,3.5,5.0,0,-1,-1,Hombre,7,7,2400,0,-1,-1,-1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,-1.0,1.0
Suj_014,Respuestas de formulario 2,ABC,Bloque_CON,1,Bloque_3,4,Opción 2,0,3.5,5.0,0,-1,-1,Hombre,7,7,0,0,-1,-1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,-1.0,1.0
Suj_014,Respuestas de formulario 2,AQS,Bloque_CON,1,Bloque_9,5,Opción 2,0,3.5,5.0,0,-1,-1,Hombre,7,7,1000,0,-1,-1,-1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,-1.0,1.0
Suj_014,Respuestas de formulario 2,AJK,Bloque_CON,1,Bloque_11,6,Opción 2,0,3.5,5.0,0,-1,-1,Hombre,7,7,1200,0,-1,-1,-1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,-1.0,1.0
Suj_014,Respuestas de formulario 2,AEF,Dist,2,Bloque_1,1,Opción 2,0,3.5,5.0,0,-1,-1,Hombre,7,7,0,0,-1,-1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,-1.0,1.0
Suj_014,Respuestas de formulario 2,AGH,Dist,2,Bloque_5,2,Opción 2,0,3.5,5.0,0,-1,-1,Hombre,7,7,2000,0,-1,-1,-1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,-1.0,1.0
Suj_014,Respuestas de formulario 2,ALM,Dist,2,Bloque_7,3,Opción 2,0,3.5,5.0,0,-1,-1,Hombre,7,7,2400,0,-1,-1,-1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,-1.0,1.0
Suj_014,Respuestas de formulario 2,ABC,Dist,2,Bloque_3,4,Opción 2,0,3.5,5.0,0,-1,-1,Hombre,7,7,0,0,-1,-1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,-1.0,1.0
Suj_014,Respuestas de formulario 2,AQS,Dist,2,Bloque_9,5,Opción 2,0,3.5,5.0,0,-1,-1,Hombre,7,7,1000,0,-1,-1,-1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,-1.0,1.0
Suj_014,Respuestas de formulario 2,AJK,Dist,2,Bloque_11,6,Opción 2,0,3.5,5.0,0,-1,-1,Hombre,7,7,1200,0,-1,-1,-1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,-1.0,1.0
